4,25
5,83
4,48
4,69
8,41
9,78
10,73
12,11
16,22
13,1
13,51
13,67
15,45
17,23
18,78
20,7
21,81
23,31
24,34
26,68
28,81
29,90
30,63
30,98
31,29
31,34
35,57
35,94
36,6
38,62
39,69
40,58
41,3
41,43
44,53
46,70
47,2
47,72
49,65
50,89
53,9
53,52
53,95
54,37
55,74
56,91
58,75
59,19
61,33
62,13
66,85
67,42
72,71
73,58
73,81
74,86
74,93
75,32
76,45
77,14
79,94
80,9
80,59
81,38
82,67
84,27
92,20
92,91
92,95
93,72
94,4
94,78
95,60
96,46
96,64
96,88
97,32
97,78
97,87
97,91
